timestamp,native_grid_demand_mw,data_center_requested_mw,data_center_flexible_demand_mw,data_center_recoverable_flexible_mw,data_center_physical_maximum_mw,data_center_connected_capacity_mw,data_center_call_limit_mw,data_center_recovery_headroom_mw,data_center_grid_call_mw,data_center_recovery_power_mw,data_center_power_mw,total_demand_mw,network_losses_mw,total_generation_mw,generation_balance_residual_mw,committed_thermal_units,spin_requirement_mw,spin_provided_mw,maximum_normal_branch_loading_fraction,hvdc_dc1_flow_mw,commitment_feasible,ramp_feasible,reserve_feasible,normal_secure,selected_contingencies_secure
2020-01-01T00:00:00+00:00,3337.3318842,173.104166667,0,0,250,250,0,0,0,0,173.104166667,3510.436050867,0,3510.436050867,-0,17,100.12,100.12,0.979163867,-100,true,true,true,true,true
2020-01-01T01:00:00+00:00,3261.0458227,175.875,0,0,250,250,0,0,0,0,175.875,3436.9208227,0,3436.9208227,-0,17,97.832,97.832,1,-100,true,true,true,true,true
2020-01-01T02:00:00+00:00,3247.17265,177.145833333,0,0,250,250,0,0,0,0,177.145833333,3424.318483333,0,3424.318483333,-0,17,97.416,97.416,0.981413638,-100,true,true,true,true,true
2020-01-01T03:00:00+00:00,3264.598321,172.770833333,0,0,250,250,0,0,0,0,172.770833333,3437.369154333,0,3437.369154333,0,17,97.938,97.938,0.870936571,-100,true,true,true,true,true
2020-01-01T04:00:00+00:00,3402.858433,174.979166667,0,0,250,250,0,0,0,0,174.979166667,3577.837599667,0,3577.837599667,0,17,102.086,102.086,0.842392744,-100,true,true,true,true,true
2020-01-01T05:00:00+00:00,3672.211107,180.208333333,0,0,250,250,0,0,0,0,180.208333333,3852.419440333,0,3852.419440333,-0,17,110.166,110.166,0.964082076,-100,true,true,true,true,true
2020-01-01T06:00:00+00:00,3948.505719,184.125,0,0,250,250,0,0,0,0,184.125,4132.630719,0,4132.630719,0,17,118.456,118.456,0.890473558,-100,true,true,true,true,true
2020-01-01T07:00:00+00:00,3986.759406,188.895833333,0,0,250,250,0,0,0,0,188.895833333,4175.655239333,0,4175.655239333,0,17,119.603,119.603,0.629665067,-100,true,true,true,true,true
2020-01-01T08:00:00+00:00,4002.672232,189.3125,0,0,250,250,0,0,0,0,189.3125,4191.984732,0,4191.984732,0,17,120.08,120.08,0.692237424,-100,true,true,true,true,true
2020-01-01T09:00:00+00:00,4032.336286,189.729166667,0,0,250,250,0,0,0,0,189.729166667,4222.065452667,0,4222.065452667,0,17,120.969,120.969,0.621857466,-100,true,true,true,true,true
2020-01-01T10:00:00+00:00,4023.089346,188.833333333,0,0,250,250,0,0,0,0,188.833333333,4211.922679333,0,4211.922679333,0,17,120.693,120.693,0.579809104,-100,true,true,true,true,true
2020-01-01T11:00:00+00:00,4014.027883,188.145833333,0,0,250,250,0,0,0,0,188.145833333,4202.173716333,0,4202.173716333,0,17,120.42,120.42,0.573122592,-100,true,true,true,true,true
2020-01-01T12:00:00+00:00,3980.797066,187.125,0,0,250,250,0,0,0,0,187.125,4167.922066,0,4167.922066,0,17,119.424,119.424,0.570493631,-100,true,true,true,true,true
2020-01-01T13:00:00+00:00,3958.54615,182.645833333,0,0,250,250,0,0,0,0,182.645833333,4141.191983333,0,4141.191983333,0,18,118.757,118.757,0.561493184,-100,true,true,true,true,true
2020-01-01T14:00:00+00:00,3929.231137,181.333333333,0,0,250,250,0,0,0,0,181.333333333,4110.564470333,0,4110.564470333,0,18,117.876,117.876,0.570846347,-100,true,true,true,true,true
2020-01-01T15:00:00+00:00,3912.80087,185.25,0,0,250,250,0,0,0,0,185.25,4098.05087,0,4098.05087,-0,19,117.385,117.385,0.647074953,-100,true,true,true,true,true
2020-01-01T16:00:00+00:00,4057.433272,185.666666667,0,0,250,250,0,0,0,0,185.666666667,4243.099938667,0,4243.099938667,0,22,121.723,121.723,0.671179837,88.163324067,true,true,true,true,true
2020-01-01T17:00:00+00:00,4578.057226,189.020833333,0,0,250,250,0,0,0,0,189.020833333,4767.078059333,0,4767.078059333,-0,22,137.341,137.341,0.818128108,14.667600733,true,true,true,true,true
2020-01-01T18:00:00+00:00,4554.393766,188.833333333,0,0,250,250,0,0,0,0,188.833333333,4743.227099333,0,4743.227099333,0,22,136.632,136.632,0.805866835,-100,true,true,true,true,true
2020-01-01T19:00:00+00:00,4449.398154,188.895833333,0,0,250,250,0,0,0,0,188.895833333,4638.293987333,0,4638.293987333,0,21,133.482,133.482,0.863275211,-10.519807676,true,true,true,true,true
2020-01-01T20:00:00+00:00,4291.819143,189.041666667,0,0,250,250,0,0,0,0,189.041666667,4480.860809667,0,4480.860809667,-0,19,128.755,128.755,0.939013956,-15.432460682,true,true,true,true,true
2020-01-01T21:00:00+00:00,4016.216875,188.895833333,0,0,250,250,0,0,0,0,188.895833333,4205.112708333,0,4205.112708333,0,16,120.486,120.486,0.883284841,-100,true,true,true,true,true
2020-01-01T22:00:00+00:00,3707.115587,186.645833333,0,0,250,250,0,0,0,0,186.645833333,3893.761420333,0,3893.761420333,0,15,111.214,111.214,0.834410763,-100,true,true,true,true,true
2020-01-01T23:00:00+00:00,3453.5968683,183,0,0,250,250,0,0,0,0,183,3636.5968683,0,3636.5968683,0,14,103.608,103.608,0.869156967,28.313649485,true,true,true,true,true
