timestamp,period,requested_demand_mw,flexible_demand_mw,recoverable_flexible_mw,physical_maximum_demand_mw,recovery_headroom_mw
2020-01-01T00:00:00+00:00,trace_window,223.52647094675,0,0,250,0
2020-01-01T01:00:00+00:00,trace_window,224.343520108,0,0,250,0
2020-01-01T02:00:00+00:00,trace_window,227.19802751325,0,0,250,0
2020-01-01T03:00:00+00:00,trace_window,228.87395957925,0,0,250,0
2020-01-01T04:00:00+00:00,trace_window,228.1612365435,0,0,250,0
2020-01-01T05:00:00+00:00,trace_window,230.71412782325,0,0,250,0
2020-01-01T06:00:00+00:00,trace_window,234.3097638925,0,0,250,0
2020-01-01T07:00:00+00:00,trace_window,237.964277082,0,0,250,0
2020-01-01T08:00:00+00:00,trace_window,240.33898760275,0,0,250,0
2020-01-01T09:00:00+00:00,trace_window,242.4064008725,0,0,250,0
2020-01-01T10:00:00+00:00,trace_window,240.63802139825,0,0,250,0
2020-01-01T11:00:00+00:00,trace_window,239.124259646,0,0,250,0
2020-01-01T12:00:00+00:00,trace_window,237.64355171575,0,0,250,0
2020-01-01T13:00:00+00:00,trace_window,233.136869679,0,0,250,0
2020-01-01T14:00:00+00:00,trace_window,230.74614871325,0,0,250,0
2020-01-01T15:00:00+00:00,trace_window,229.15904879375,0,0,250,0
2020-01-01T16:00:00+00:00,trace_window,226.8550941105,0,0,250,0
2020-01-01T17:00:00+00:00,trace_window,227.83276418775,0,0,250,0
2020-01-01T18:00:00+00:00,trace_window,228.2567827475,0,0,250,0
2020-01-01T19:00:00+00:00,trace_window,228.619341857,0,0,250,0
2020-01-01T20:00:00+00:00,trace_window,226.29937672875,0,0,250,0
2020-01-01T21:00:00+00:00,trace_window,225.86709471375,0,0,250,0
2020-01-01T22:00:00+00:00,trace_window,226.747669189,0,0,250,0
2020-01-01T23:00:00+00:00,trace_window,227.8875095805,0,0,250,0
2020-01-02T00:00:00+00:00,trace_window,227.88441078475,0,0,250,0
2020-01-02T01:00:00+00:00,trace_window,227.19647811525,0,0,250,0
2020-01-02T02:00:00+00:00,trace_window,228.089447774,0,0,250,0
2020-01-02T03:00:00+00:00,trace_window,230.73117120025,0,0,250,0
2020-01-02T04:00:00+00:00,trace_window,233.339611264,0,0,250,0
2020-01-02T05:00:00+00:00,trace_window,235.56271033075,0,0,250,0
2020-01-02T06:00:00+00:00,trace_window,235.45012074975,0,0,250,0
2020-01-02T07:00:00+00:00,trace_window,239.81136023125,0,0,250,0
2020-01-02T08:00:00+00:00,trace_window,243.19556087175,0,0,250,0
2020-01-02T09:00:00+00:00,trace_window,244.222295216,0,0,250,0
2020-01-02T10:00:00+00:00,trace_window,241.50206896275,0,0,250,0
2020-01-02T11:00:00+00:00,trace_window,241.416852078,0,0,250,0
2020-01-02T12:00:00+00:00,trace_window,242.95385479875,0,0,250,0
2020-01-02T13:00:00+00:00,trace_window,241.1818600625,0,0,250,0
2020-01-02T14:00:00+00:00,trace_window,239.1154797245,0,0,250,0
2020-01-02T15:00:00+00:00,trace_window,236.37666069625,0,0,250,0
2020-01-02T16:00:00+00:00,trace_window,231.08391745625,0,0,250,0
2020-01-02T17:00:00+00:00,trace_window,229.9678344995,0,0,250,0
2020-01-02T18:00:00+00:00,trace_window,228.3394173025,0,0,250,0
2020-01-02T19:00:00+00:00,trace_window,229.490103479,0,0,250,0
2020-01-02T20:00:00+00:00,trace_window,228.59971615025,0,0,250,0
2020-01-02T21:00:00+00:00,trace_window,229.409534788,0,0,250,0
2020-01-02T22:00:00+00:00,trace_window,227.51875287925,0,0,250,0
