candidate_id,hour_index,timestamp,dc_branch_uid,flow_mw
candidate_00,0,2020-01-01T00:00:00+00:00,DC1,-100
candidate_00,1,2020-01-01T01:00:00+00:00,DC1,-100
candidate_00,2,2020-01-01T02:00:00+00:00,DC1,-100
candidate_00,3,2020-01-01T03:00:00+00:00,DC1,-100
candidate_00,4,2020-01-01T04:00:00+00:00,DC1,-100
candidate_00,5,2020-01-01T05:00:00+00:00,DC1,-100
candidate_00,6,2020-01-01T06:00:00+00:00,DC1,-100
candidate_00,7,2020-01-01T07:00:00+00:00,DC1,-100
candidate_00,8,2020-01-01T08:00:00+00:00,DC1,-100
candidate_00,9,2020-01-01T09:00:00+00:00,DC1,-100
candidate_00,10,2020-01-01T10:00:00+00:00,DC1,-100
candidate_00,11,2020-01-01T11:00:00+00:00,DC1,-100
candidate_00,12,2020-01-01T12:00:00+00:00,DC1,-100
candidate_00,13,2020-01-01T13:00:00+00:00,DC1,-100
candidate_00,14,2020-01-01T14:00:00+00:00,DC1,-100
candidate_00,15,2020-01-01T15:00:00+00:00,DC1,-100
candidate_00,16,2020-01-01T16:00:00+00:00,DC1,100
candidate_00,17,2020-01-01T17:00:00+00:00,DC1,57.313434200000003
candidate_00,18,2020-01-01T18:00:00+00:00,DC1,-100
candidate_00,19,2020-01-01T19:00:00+00:00,DC1,-29.969999355999999
candidate_00,20,2020-01-01T20:00:00+00:00,DC1,-100
candidate_00,21,2020-01-01T21:00:00+00:00,DC1,-100
candidate_00,22,2020-01-01T22:00:00+00:00,DC1,-100
candidate_00,23,2020-01-01T23:00:00+00:00,DC1,-100
candidate_01,0,2020-01-01T00:00:00+00:00,DC1,-100
candidate_01,1,2020-01-01T01:00:00+00:00,DC1,-100
candidate_01,2,2020-01-01T02:00:00+00:00,DC1,-100
candidate_01,3,2020-01-01T03:00:00+00:00,DC1,-100
candidate_01,4,2020-01-01T04:00:00+00:00,DC1,-100
candidate_01,5,2020-01-01T05:00:00+00:00,DC1,-100
