hour_index,timestamp,mode,bus_row,bus,bus_type,pd_mw,qd_mvar,gs_mw_at_1pu,bs_mvar_at_1pu,vm_pu,va_degree,specified_p_injection_mw,specified_q_injection_mvar,reconstructed_p_injection_mw,reconstructed_q_injection_mvar,p_balance_residual_mw,q_balance_residual_mvar
0,2020-01-01T00:00:00+00:00,distributed_committable,0,101,2,37.327065809684207,7.6036615538245602,0,0,1.0168935495790781,-2.8962805285831141,71.00282478268899,-57.603617097612251,71.002824786092262,-57.603617098843152,-3.4032723306154367e-09,1.230901602866652e-09
0,2020-01-01T00:00:00+00:00,distributed_committable,1,102,2,33.525235032771931,6.9124195943859661,0,0,1.0162084328040175,-3.1129104796247757,42.146873676195284,-56.91237535328937,42.146873676359455,-56.912375353766549,-1.6417089909737115e-10,4.7717918505441048e-10
0,2020-01-01T00:00:00+00:00,distributed_committable,2,103,1,62.211776349473688,12.787976249614035,0,0,1.0269835151868139,-1.9412400349209227,-62.211776349473688,-12.787976249614035,-62.211776307501275,-12.787976249197012,-4.1972413100666017e-08,-4.17022860688121e-10
0,2020-01-01T00:00:00+00:00,distributed_committable,3,104,1,25.575952499228073,5.1843146957894737,0,0,1.0153077694908248,-5.5550153180321518,-25.575952499228073,-5.1843146957894737,-25.575952498737006,-5.1843146958505315,-4.9106674282484164e-10,6.1057825462285109e-11
0,2020-01-01T00:00:00+00:00,distributed_committable,4,105,1,24.539089560070174,4.8386937160701748,0,0,1.0287250029465191,-5.6430658965748401,-24.539089560070174,-4.8386937160701748,-24.539089559137096,-4.8386937162725445,-9.3307761517280596e-10,2.0236967657183413e-10
0,2020-01-01T00:00:00+00:00,distributed_committable,5,106,1,47.004453241824564,9.6773874321403515,0,-100,1.0438768372474496,-7.5710742775354465,-47.004453241824564,-9.6773874321403515,-47.004453241349502,-9.6773874322575768,-4.7506176770184538e-10,1.1722534054570133e-10
0,2020-01-01T00:00:00+00:00,distributed_committable,6,107,1,43.202622464912281,8.6405244929824558,0,0,0.99605203459214187,-15.296924868615902,-43.202622464912281,-8.6405244929824558,-43.20262248732837,-8.6405244523279929,2.2416088540921919e-08,-4.0654462907241395e-08
0,2020-01-01T00:00:00+00:00,distributed_committable,7,108,1,59.101187531999997,12.096734290175439,0,0,1.0027876390962127,-12.695455563864044,-59.101187531999997,-12.096734290175439,-59.101187555968622,-12.096734260361419,2.3968624418557738e-08,-2.9814019697482763e-08
0,2020-01-01T00:00:00+00:00,distributed_committable,8,109,1,60.483671450877189,12.442355269894737,0,0,1.0242187547711392,-6.1025517645534642,-60.483671450877189,-12.442355269894737,-60.483671471366172,-12.44235526092125,2.0488982954702806e-08,-8.9734868424784509e-09
0,2020-01-01T00:00:00+00:00,distributed_committable,9,110,1,67.396091045263162,13.824839188771932,0,0,1.0499999986231354,-7.2829916993390684,-67.396091045263162,-13.824839188771932,-67.396091079360801,-13.824839175753594,3.4097638490493409e-08,-1.3018338407277952e-08
0,2020-01-01T00:00:00+00:00,distributed_committable,10,111,1,0,0,0,0,1.0046869755516021,-4.1555774044677323,-0,-0,1.7715431742477025e-06,-2.4699163344260379e-07,-1.7715431742477025e-06,2.4699163344260379e-07
0,2020-01-01T00:00:00+00:00,distributed_committable,11,112,1,0,0,0,0,1.0131942544348582,-4.974851962233009,-0,-0,7.1298993923487908e-07,-8.7924513053058099e-08,-7.1298993923487908e-07,8.7924513053058099e-08
0,2020-01-01T00:00:00+00:00,distributed_committable,12,113,1,-8.4104403753245691,18.663532904842107,0,0,1.0093213042015718,-5.090392780502845,8.4104403753245691,-18.663532904842107,8.4104403252482278,-18.663532923436037,5.0076341295834936e-08,1.8593929951293831e-08
0,2020-01-01T00:00:00+00:00,distributed_committable,13,114,2,67.050470065543863,13.479218209052631,0,0,0.99415125365968438,-0.64426156022464554,-67.050470065543863,-62.695063715723698,-67.050469658907758,-62.695029207660212,-4.0663610434421571e-07,-3.4508063485816365e-05
0,2020-01-01T00:00:00+00:00,distributed_committable,14,115,3,109.56185057101754,22.119742702035087,0,0,1.0354319431508416,7.9596999999999989,-39.88370495034566,57.88018808328323,-39.88370430204138,57.880188004388202,-6.4830427959350345e-07,7.8895027399994433e-08
0,2020-01-01T00:00:00+00:00,distributed_committable,15,116,1,34.562097971929823,6.9124195943859652,0,0,1.0221166959944519,6.2527899708647476,-34.562097971929823,-6.9124195943859652,-34.56209508101162,-6.9124195134485698,-2.8909182034908554e-06,-8.093739545245171e-08
0,2020-01-01T00:00:00+00:00,distributed_committable,16,117,1,0,0,0,0,1.0314682596398557,10.915230539601163,-0,-0,9.181527098435314e-08,1.9741596357389329e-08,-9.181527098435314e-08,-1.9741596357389329e-08
0,2020-01-01T00:00:00+00:00,distributed_committable,17,118,1,115.09178624652631,23.502226620912278,0,0,1.0391658223619571,11.436364044822776,-115.09178624652631,-23.502226620912278,-115.09178580826064,-23.502226625302303,-4.3826567264204641e-07,4.3900243440475606e-09
0,2020-01-01T00:00:00+00:00,distributed_committable,18,119,1,62.557397329192987,12.787976249614035,0,0,1.0155190527211719,2.7651683323286869,-62.557397329192987,-12.787976249614035,-62.557396924865202,-12.787976201302952,-4.0432778547483395e-07,-4.8311083133967259e-08
0,2020-01-01T00:00:00+00:00,distributed_committable,19,120,1,44.239485404070173,8.9861454727017538,0,0,1.0144554802065531,0.4051390130284635,-44.239485404070173,-8.9861454727017538,-44.239484987357649,-8.9861454492917794,-4.1671252404285042e-07,-2.3409974403421074e-08
0,2020-01-01T00:00:00+00:00,distributed_committable,20,121,2,0,0,0,0,1.0499995978185046,12.693663613588098,399.99999991026624,174.35865578722945,399.9999983788868,174.35866234771535,1.5313794392568525e-06,-6.5604859003087768e-06
0,2020-01-01T00:00:00+00:00,distributed_committable,21,122,2,0,0,0,0,1.0499999977056809,25.600411519439973,625,-9.799691453969702,624.99999980692075,-9.7996914610636541,1.9307924503664253e-07,7.0939520924184762e-09
0,2020-01-01T00:00:00+00:00,distributed_committable,22,123,2,0,0,0,0,1.0144385266466454,-0.62117545260057661,217.93228980138701,-21.244769307849012,217.93228663030848,-21.244756404009692,3.1710785322047741e-06,-1.2903839319733379e-05
0,2020-01-01T00:00:00+00:00,distributed_committable,23,124,1,0,0,0,0,1.0199570984711348,4.2444090647508945,-0,-0,7.8053135069914885e-08,-1.3517974531402665e-08,-7.8053135069914885e-08,1.3517974531402665e-08
0,2020-01-01T00:00:00+00:00,distributed_committable,24,201,2,41.785613090526319,8.5118841480701768,0,0,1.0194350457432351,-21.465178806783086,-32.485613090526314,-18.511189594515912,-32.485611299755213,-18.511188772071666,-1.7907711011844185e-06,-8.2244424604027699e-07
0,2020-01-01T00:00:00+00:00,distributed_committable,25,202,2,37.529671016491228,7.7380764982456141,0,0,1.0181436449597259,-21.280611036958728,39.876346248857793,-57.149576878456969,39.876343685564009,-57.149561816697314,2.5632937834529912e-06,-1.5061759654599882e-05
0,2020-01-01T00:00:00+00:00,distributed_committable,26,203,1,69.642688484210538,14.315441521754387,0,0,1.0098330308294976,-18.285170895644278,-69.642688484210538,-14.315441521754387,-69.642687276758366,-14.315441553631702,-1.2074521720251141e-06,3.1877315009865015e-08
