timestamp,native_grid_demand_mw,data_center_requested_mw,data_center_flexible_demand_mw,data_center_recoverable_flexible_mw,data_center_physical_maximum_mw,data_center_connected_capacity_mw,data_center_call_limit_mw,data_center_recovery_headroom_mw,data_center_grid_call_mw,data_center_recovery_power_mw,data_center_power_mw,total_demand_mw,network_losses_mw,total_generation_mw,generation_balance_residual_mw,committed_thermal_units,spin_requirement_mw,spin_provided_mw,maximum_normal_branch_loading_fraction,hvdc_dc1_flow_mw,commitment_feasible,ramp_feasible,reserve_feasible,normal_secure,selected_contingencies_secure
2020-01-01T00:00:00+00:00,3337.3318842,0,0,0,0,0,0,0,0,0,0,3337.3318842,0,3337.3318842,-0,15,100.12,100.12,0.959680611,-100,true,true,true,true,true
2020-01-01T01:00:00+00:00,3261.0458227,0,0,0,0,0,0,0,0,0,0,3261.0458227,0,3261.0458227,0,15,97.832,97.832,1,-100,true,true,true,true,true
2020-01-01T02:00:00+00:00,3247.17265,0,0,0,0,0,0,0,0,0,0,3247.17265,0,3247.17265,0,15,97.416,97.416,0.952657701,-100,true,true,true,true,true
2020-01-01T03:00:00+00:00,3264.598321,0,0,0,0,0,0,0,0,0,0,3264.598321,0,3264.598321,-0,15,97.938,97.938,0.852386026,-100,true,true,true,true,true
2020-01-01T04:00:00+00:00,3402.858433,0,0,0,0,0,0,0,0,0,0,3402.858433,0,3402.858433,0,15,102.086,102.086,0.816460563,-100,true,true,true,true,true
2020-01-01T05:00:00+00:00,3672.211107,0,0,0,0,0,0,0,0,0,0,3672.211107,0,3672.211107,0,15,110.166,110.166,0.9424767,-100,true,true,true,true,true
2020-01-01T06:00:00+00:00,3948.505719,0,0,0,0,0,0,0,0,0,0,3948.505719,0,3948.505719,0,16,118.456,118.456,0.874218194,-100,true,true,true,true,true
2020-01-01T07:00:00+00:00,3986.759406,0,0,0,0,0,0,0,0,0,0,3986.759406,0,3986.759406,-0,15,119.603,119.603,0.658595128,-100,true,true,true,true,true
2020-01-01T08:00:00+00:00,4002.672232,0,0,0,0,0,0,0,0,0,0,4002.672232,0,4002.672232,-0,15,120.08,120.08,0.776875776,-100,true,true,true,true,true
2020-01-01T09:00:00+00:00,4032.336286,0,0,0,0,0,0,0,0,0,0,4032.336286,0,4032.336286,0,15,120.969,120.969,0.709202824,-100,true,true,true,true,true
2020-01-01T10:00:00+00:00,4023.089346,0,0,0,0,0,0,0,0,0,0,4023.089346,0,4023.089346,-0,15,120.693,120.693,0.586435427,-100,true,true,true,true,true
2020-01-01T11:00:00+00:00,4014.027883,0,0,0,0,0,0,0,0,0,0,4014.027883,0,4014.027883,-0,15,120.42,120.42,0.576964875,-100,true,true,true,true,true
2020-01-01T12:00:00+00:00,3980.797066,0,0,0,0,0,0,0,0,0,0,3980.797066,0,3980.797066,0,15,119.424,119.424,0.572915204,-100,true,true,true,true,true
2020-01-01T13:00:00+00:00,3958.54615,0,0,0,0,0,0,0,0,0,0,3958.54615,0,3958.54615,0,16,118.757,118.757,0.565132665,-100,true,true,true,true,true
2020-01-01T14:00:00+00:00,3929.231137,0,0,0,0,0,0,0,0,0,0,3929.231137,0,3929.231137,0,16,117.876,117.876,0.572023521,-100,true,true,true,true,true
2020-01-01T15:00:00+00:00,3912.80087,0,0,0,0,0,0,0,0,0,0,3912.80087,0,3912.80087,0,17,117.385,126.04,0.663061924,-100,true,true,true,true,true
2020-01-01T16:00:00+00:00,4057.433272,0,0,0,0,0,0,0,0,0,0,4057.433272,0,4057.433272,0,22,121.723,128.009,0.692023571,100,true,true,true,true,true
2020-01-01T17:00:00+00:00,4578.057226,0,0,0,0,0,0,0,0,0,0,4578.057226,0,4578.057226,0,21,137.341,140.338,0.807830805,57.3134342,true,true,true,true,true
2020-01-01T18:00:00+00:00,4554.393766,0,0,0,0,0,0,0,0,0,0,4554.393766,0,4554.393766,-0,20,136.632,140.052,0.808820123,-100,true,true,true,true,true
2020-01-01T19:00:00+00:00,4449.398154,0,0,0,0,0,0,0,0,0,0,4449.398154,0,4449.398154,-0,20,133.482,137.526,0.880674633,-29.969999356,true,true,true,true,true
2020-01-01T20:00:00+00:00,4291.819143,0,0,0,0,0,0,0,0,0,0,4291.819143,0,4291.819143,0,19,128.755,134.015,0.910173121,-100,true,true,true,true,true
2020-01-01T21:00:00+00:00,4016.216875,0,0,0,0,0,0,0,0,0,0,4016.216875,0,4016.216875,0,16,120.486,128.359,0.862056296,-100,true,true,true,true,true
2020-01-01T22:00:00+00:00,3707.115587,0,0,0,0,0,0,0,0,0,0,3707.115587,0,3707.115587,-0,13,111.214,121.678,0.805204785,-100,true,true,true,true,true
2020-01-01T23:00:00+00:00,3453.5968683,0,0,0,0,0,0,0,0,0,0,3453.5968683,0,3453.5968683,0,12,103.608,103.608,0.797002348,-100,true,true,true,true,true
