lambda_risk,beta,expected_planning_cost,conditional_value_at_risk,value_at_risk,provisioned_flexibility_mw,parameter_status,security_certified
0.0,0.7,53500.0,23600.0,23600.0,80.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
0.01,0.7,53500.0,23600.0,23600.0,80.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
0.02,0.7,53500.0,23600.0,23600.0,80.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
0.03,0.7,53900.0,4400.0,4400.0,100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
0.05,0.7,53900.0,4400.0,4400.0,100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
0.075,0.7,53900.0,4400.0,4400.0,100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
0.1,0.7,53900.0,4400.0,4400.0,100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
0.15,0.7,53900.0,4400.0,4400.0,100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
0.25,0.7,53900.0,4400.0,4400.0,100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
0.5,0.7,53900.0,4400.0,4400.0,100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
0.75,0.7,53900.0,4400.0,4400.0,100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
1.0,0.7,53900.0,4400.0,4400.0,100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
2.0,0.7,53900.0,4400.0,4400.0,100.0,synthetic_mechanism_only_not_engineering_or_contract_evidence,False
