hour_index,timestamp,mode,branch_row,branch_uid,from_bus,to_bus,online,rate_a_mva,pf_mw,qf_mvar,pt_mw,qt_mvar,from_mva,to_mva,loading_fraction
0,2020-01-01T00:00:00+00:00,distributed_committable,0,A1,101,102,true,175,27.712904386,-24.744728984,-27.690599412,-22.789816353,37.152478813,35.862864152,0.212299879
0,2020-01-01T00:00:00+00:00,distributed_committable,1,A2,101,103,true,175,-8.89490359,-5.422531916,8.940244581,-0.356511303,10.417445092,8.947350082,0.059528258
0,2020-01-01T00:00:00+00:00,distributed_committable,2,A3,101,105,true,175,52.18482399,-27.436356199,-51.45888128,27.834935083,58.957692427,58.504701296,0.3369011
0,2020-01-01T00:00:00+00:00,distributed_committable,3,A4,102,104,true,175,32.782383154,-8.815290143,-32.423033465,6.690241919,33.946928956,33.106078535,0.193982451
0,2020-01-01T00:00:00+00:00,distributed_committable,4,A5,102,106,true,175,37.055089935,-25.307268858,-36.142489224,23.293523669,44.87245867,42.99846244,0.25641405
0,2020-01-01T00:00:00+00:00,distributed_committable,5,A6,103,109,true,175,61.215280335,-12.918074711,-60.076785296,13.922475917,62.563465382,61.668918161,0.357505516
0,2020-01-01T00:00:00+00:00,distributed_committable,6,A7,103,124,true,400,-132.367301223,0.486609764,132.709597703,13.889842394,132.36819566,133.434497205,0.333586243
0,2020-01-01T00:00:00+00:00,distributed_committable,7,A8,104,109,true,175,6.847080966,-11.874556615,-6.806301117,9.119811056,13.70721024,11.379661181,0.078326916
0,2020-01-01T00:00:00+00:00,distributed_committable,8,A9,105,110,true,175,26.919791721,-32.6736288,-26.547960704,31.503356452,42.33486985,41.19776311,0.241913542
0,2020-01-01T00:00:00+00:00,distributed_committable,9,A10,106,110,true,175,-10.861964018,-141.938796235,10.885268445,-127.488052465,142.353799173,127.951915149,0.813450281
0,2020-01-01T00:00:00+00:00,distributed_committable,10,A11,107,108,true,175,-71.821370466,8.684228411,72.667894661,-7.154902213,72.344488931,73.019281975,0.41725304
0,2020-01-01T00:00:00+00:00,distributed_committable,11,AB1,107,203,true,175,28.618747978,-17.324752863,-28.174958204,14.599805705,33.4541447,31.732989087,0.191166541
0,2020-01-01T00:00:00+00:00,distributed_committable,12,A12-1,108,109,true,175,-69.097046921,6.836176946,71.174042199,-3.489177335,69.434394995,71.259516146,0.407197235
0,2020-01-01T00:00:00+00:00,distributed_committable,13,A13-2,108,110,true,175,-62.672035297,-11.778008994,64.390322942,13.628251475,63.769157938,65.816737437,0.376095642
0,2020-01-01T00:00:00+00:00,distributed_committable,14,A14,109,111,true,400,-40.658318756,-10.538219442,40.694001252,12.036884299,42.00182083,42.43687455,0.106092186
0,2020-01-01T00:00:00+00:00,distributed_committable,15,A15,109,112,true,400,-24.116308501,-21.457245456,24.137384626,22.342442707,32.280175314,32.890699031,0.082226748
0,2020-01-01T00:00:00+00:00,distributed_committable,16,A16,110,111,true,400,-66.547535775,40.121510851,66.660385083,-35.381839924,77.706564399,75.46841416,0.194266411
0,2020-01-01T00:00:00+00:00,distributed_committable,17,A17,110,112,true,400,-49.576185987,28.410094512,49.637203933,-25.847340793,57.13958074,55.963711817,0.142848952
0,2020-01-01T00:00:00+00:00,distributed_committable,18,A18,111,113,true,500,32.77744249,-18.563082439,-32.702721813,9.020220785,37.668936351,33.92392072,0.075337873
0,2020-01-01T00:00:00+00:00,distributed_committable,19,A19,111,114,true,500,-140.131827054,41.908037817,141.210947425,-41.633450291,146.264187644,147.2205008,0.294441002
0,2020-01-01T00:00:00+00:00,distributed_committable,20,A20,112,113,true,500,5.236891777,2.392013513,-5.23197938,-12.5791748,5.757322653,13.62384846,0.027247697
0,2020-01-01T00:00:00+00:00,distributed_committable,21,A21,112,123,true,500,-79.011479622,1.112884484,79.756779991,-15.953201606,79.019316778,81.336637477,0.162673275
0,2020-01-01T00:00:00+00:00,distributed_committable,22,A22,113,123,true,500,-90.557855044,-0.178766625,91.452275203,-11.382299706,90.558031492,92.157882931,0.184315766
0,2020-01-01T00:00:00+00:00,distributed_committable,23,AB2,113,215,true,500,136.902996562,-14.925812283,-135.058568246,12.714483975,137.714234341,135.655722177,0.275428469
0,2020-01-01T00:00:00+00:00,distributed_committable,24,A23,114,116,true,500,-208.261417083,-21.061578917,210.470286632,38.790696644,209.323691808,214.015092228,0.428030184
0,2020-01-01T00:00:00+00:00,distributed_committable,25,A24,115,116,true,500,192.637135461,59.269585224,-191.87501072,-56.601840256,201.548876681,200.049464032,0.403097753
0,2020-01-01T00:00:00+00:00,distributed_committable,26,A25-1,115,121,true,500,-183.210020054,-6.301767572,185.088534141,10.443680852,183.318367118,185.382944038,0.370765888
0,2020-01-01T00:00:00+00:00,distributed_committable,27,A25-2,115,121,true,500,-183.210020054,-6.301767572,185.088534141,10.443680852,183.318367118,185.382944038,0.370765888
0,2020-01-01T00:00:00+00:00,distributed_committable,28,A26,115,124,true,500,133.899200346,11.214137923,-132.709597625,-13.889842408,134.367975138,133.434497129,0.26873595
0,2020-01-01T00:00:00+00:00,distributed_committable,29,A27,116,117,true,500,-327.933021457,11.620616022,331.027148183,9.396363329,328.138850608,331.160481455,0.662320963
0,2020-01-01T00:00:00+00:00,distributed_committable,30,A28,116,119,true,500,274.775650464,-0.721891923,-272.607466121,12.25843491,274.776598742,272.882941591,0.549553197
0,2020-01-01T00:00:00+00:00,distributed_committable,31,A29,117,118,true,500,-76.138616795,-47.115053621,76.286542074,44.934842007,89.537239432,88.53686536,0.179074479
0,2020-01-01T00:00:00+00:00,distributed_committable,32,A30,117,122,true,500,-254.888531296,37.718690311,263.759661195,4.875768169,257.664244677,263.804723212,0.527609446
0,2020-01-01T00:00:00+00:00,distributed_committable,33,A31-1,118,121,true,500,-95.689163941,-34.218534316,95.970668696,30.656739096,101.623443095,100.748225304,0.203246886
0,2020-01-01T00:00:00+00:00,distributed_committable,34,A31-2,118,121,true,500,-95.689163941,-34.218534316,95.970668696,30.656739096,101.623443095,100.748225304,0.203246886
0,2020-01-01T00:00:00+00:00,distributed_committable,35,A32-1,119,120,true,500,105.025034598,-12.523205556,-104.486954599,8.277190251,105.769034078,104.814290818,0.211538068
0,2020-01-01T00:00:00+00:00,distributed_committable,36,A32-2,119,120,true,500,105.025034598,-12.523205556,-104.486954599,8.277190251,105.769034078,104.814290818,0.211538068
0,2020-01-01T00:00:00+00:00,distributed_committable,37,A33-1,120,123,true,500,82.367212105,-12.770262976,-82.166285492,9.509852282,83.351288211,82.714785631,0.166702576
0,2020-01-01T00:00:00+00:00,distributed_committable,38,A33-2,120,123,true,500,82.367212105,-12.770262976,-82.166285492,9.509852282,83.351288211,82.714785631,0.166702576
0,2020-01-01T00:00:00+00:00,distributed_committable,39,A34,121,122,true,500,-350.58389176,79.535341877,361.240338612,-14.67545963,359.492608782,361.538312432,0.723076625
0,2020-01-01T00:00:00+00:00,distributed_committable,40,AB3,123,217,true,500,211.05580242,-12.928959655,-206.724861181,29.110261215,211.451435873,208.76440199,0.422902872
0,2020-01-01T00:00:00+00:00,distributed_committable,41,B1,201,202,true,175,-20.89918128,-10.034234287,20.917383505,-37.729493979,23.183218842,43.139907842,0.246513759
0,2020-01-01T00:00:00+00:00,distributed_committable,42,B2,201,203,true,175,-24.027432193,8.691650346,24.404836829,-13.111969026,25.551169905,27.704147567,0.158309415
0,2020-01-01T00:00:00+00:00,distributed_committable,43,B3,201,205,true,175,12.441002172,-17.168604831,-12.354223389,15.088333844,21.202347203,19.500888538,0.12115627
0,2020-01-01T00:00:00+00:00,distributed_committable,44,B4,202,204,true,175,6.31600936,0.030836884,-6.302286491,-3.487813286,6.316084637,7.203031065,0.041160178
0,2020-01-01T00:00:00+00:00,distributed_committable,45,B5,202,206,true,175,12.642950821,-19.450904722,-12.430433579,14.737797894,23.19874781,19.279999112,0.132564273
