hour_index,timestamp,mode,generator_row,generator_uid,bus,online,adjustable_active_power,target_pg_mw,pg_mw,pg_deviation_mw,pmin_mw,pmax_mw,qg_mvar,qmin_mvar,qmax_mvar,q_bound_utilization,source_vg_pu,output_vg_pu,optimized_bus_vm_pu,source_vg_to_optimized_vm_adjustment_pu
0,2020-01-01T00:00:00+00:00,distributed_committable,0,101_CT_1,101,false,false,0,0,0,0,0,0,0,10,0,1.0468,1.0468,1.01689355,
0,2020-01-01T00:00:00+00:00,distributed_committable,1,101_CT_2,101,false,false,0,0,0,0,0,0,0,10,0,1.0468,1.0468,1.01689355,
0,2020-01-01T00:00:00+00:00,distributed_committable,2,101_STEAM_3,101,true,true,47.347684137,55.172120698,7.824436561,30,76,-24.999977772,-25,30,0.000000404,1.0468,1.01689355,1.01689355,-0.02990645
0,2020-01-01T00:00:00+00:00,distributed_committable,3,101_STEAM_4,101,true,true,45.333333328,53.157769894,7.824436566,30,76,-24.999977772,-25,30,0.000000404,1.0468,1.01689355,1.01689355,-0.02990645
0,2020-01-01T00:00:00+00:00,distributed_committable,4,102_CT_1,102,false,false,0,0,0,0,0,0,0,10,0,1.0467,1.0467,1.016208433,
0,2020-01-01T00:00:00+00:00,distributed_committable,5,102_CT_2,102,false,false,0,0,0,0,0,0,0,10,0,1.0467,1.0467,1.016208433,
0,2020-01-01T00:00:00+00:00,distributed_committable,6,102_STEAM_3,102,true,true,30,37.836054354,7.836054354,30,76,-24.999977879,-25,30,0.000000402,1.0467,1.016208433,1.016208433,-0.030491567
0,2020-01-01T00:00:00+00:00,distributed_committable,7,102_STEAM_4,102,true,true,30,37.836054354,7.836054354,30,76,-24.999977879,-25,30,0.000000402,1.0467,1.016208433,1.016208433,-0.030491567
0,2020-01-01T00:00:00+00:00,distributed_committable,8,107_CC_1,107,false,false,0,0,0,0,0,0,-25,150,0.142857143,1.05,1.05,0.996052035,
0,2020-01-01T00:00:00+00:00,distributed_committable,9,113_CT_1,113,false,false,0,0,0,0,0,0,-15,19,0.441176471,1.0347,1.0347,1.009321304,
0,2020-01-01T00:00:00+00:00,distributed_committable,10,113_CT_2,113,false,false,0,0,0,0,0,0,-15,19,0.441176471,1.0347,1.0347,1.009321304,
