run_id,hour_index,timestamp,bus_row,bus,bus_type,pd_mw,qd_mvar,gs_mw_at_1pu,bs_mvar_at_1pu,vm_pu,va_degree,specified_p_injection_mw,specified_q_injection_mvar,reconstructed_p_injection_mw,reconstructed_q_injection_mvar,p_balance_residual_mw,q_balance_residual_mvar
original_source,0,2020-01-01T00:00:00+00:00,0,101,2,37.327065809684207,7.6036615538245602,0,0,1.0168934618324268,-2.8962813205822675,71.002850071185208,-57.603658425418274,71.00285007118525,-57.603658425419447,-4.2632564145606011e-14,1.1723955140041653e-12
original_source,0,2020-01-01T00:00:00+00:00,1,102,2,33.525235032771931,6.9124195943859661,0,0,1.0162083487262754,-3.1129112769912837,42.146900871471033,-56.912416481464192,42.146900871471118,-56.912416481464234,-8.5265128291212022e-14,4.2632564145606011e-14
original_source,0,2020-01-01T00:00:00+00:00,2,103,1,62.211776349473688,12.787976249614035,0,0,1.0269833400523676,-1.9412424514062716,-62.211776349473688,-12.787976249614035,-62.211776349473766,-12.787976249614889,7.815970093361102e-14,8.5442763975152047e-13
original_source,0,2020-01-01T00:00:00+00:00,3,104,1,25.575952499228073,5.1843146957894737,0,0,1.0153077253231135,-5.555017817941228,-25.575952499228073,-5.1843146957894737,-25.575952499227974,-5.1843146957891726,-9.9475983006414026e-14,-3.0109248427834245e-13
original_source,0,2020-01-01T00:00:00+00:00,4,105,1,24.539089560070174,4.8386937160701748,0,0,1.0287249627526787,-5.6430681482659208,-24.539089560070174,-4.8386937160701748,-24.539089560070128,-4.8386937160699564,-4.6185277824406512e-14,-2.1849189124623081e-13
original_source,0,2020-01-01T00:00:00+00:00,5,106,1,47.004453241824564,9.6773874321403515,0,-100,1.0438768245732404,-7.5710772132542079,-47.004453241824564,-9.6773874321403515,-47.004453241824585,-9.6773874321401685,2.1316282072803006e-14,-1.829647544582258e-13
original_source,0,2020-01-01T00:00:00+00:00,6,107,1,43.202622464912281,8.6405244929824558,0,0,0.99605489930641999,-15.296757608748141,-43.202622464912281,-8.6405244929824558,-43.202622464912722,-8.6405244929812746,4.4053649617126212e-13,-1.1812772982011666e-12
original_source,0,2020-01-01T00:00:00+00:00,7,108,1,59.101187531999997,12.096734290175439,0,0,1.0027894142348708,-12.695364692649813,-59.101187531999997,-12.096734290175439,-59.101187532000758,-12.096734290175556,7.602807272633072e-13,1.1723955140041653e-13
original_source,0,2020-01-01T00:00:00+00:00,8,109,1,60.483671450877189,12.442355269894737,0,0,1.0242187451473548,-6.1025554287644486,-60.483671450877189,-12.442355269894737,-60.483671450877289,-12.442355269894026,9.9475983006414026e-14,-7.1054273576010019e-13
original_source,0,2020-01-01T00:00:00+00:00,9,110,1,67.396091045263162,13.824839188771932,0,0,1.0500000098981903,-7.2829951242238939,-67.396091045263162,-13.824839188771932,-67.396091045263532,-13.824839188771994,3.694822225952521e-13,6.2172489379008766e-14
original_source,0,2020-01-01T00:00:00+00:00,10,111,1,0,0,0,0,1.0046768430257502,-4.1556074775126941,-0,-0,3.1676280266162047e-11,-3.0172346054060723e-12,-3.1676280266162047e-11,3.0172346054060723e-12
original_source,0,2020-01-01T00:00:00+00:00,11,112,1,0,0,0,0,1.0132036868928573,-4.9748729842735644,-0,-0,1.5406457142764128e-11,-9.7975897252817155e-13,-1.5406457142764128e-11,9.7975897252817155e-13
original_source,0,2020-01-01T00:00:00+00:00,12,113,1,-8.4104403753245691,18.663532904842107,0,0,1.0093314800456679,-5.0904379446037717,8.4104403753245691,-18.663532904842107,8.4104403753282782,-18.663532904841997,-3.709033080667723e-12,-1.1013412404281553e-13
