timestamp,quarter,layer,timeline_load_multiplier_not_used_in_envelope,grid_call_mw,call_limit_mw,recovery_headroom_mw,recovery_power_mw,recovery_debt_mwh,parameter_status,security_certified
2020-01-01T00:00:00,q1,actual,0.3456209797192982,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T01:00:00,q1,actual,0.345868382,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T02:00:00,q1,actual,0.3514349333333333,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T03:00:00,q1,actual,0.3635576445614035,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T04:00:00,q1,actual,0.39992577929824563,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T05:00:00,q1,actual,0.45150915403508773,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T06:00:00,q1,actual,0.47266204842105264,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T07:00:00,q1,actual,0.45806531403508777,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T08:00:00,q1,actual,0.43245917859649124,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T09:00:00,q1,actual,0.41551212280701755,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T10:00:00,q1,actual,0.4046264224561404,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T11:00:00,q1,actual,0.39621474526315786,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T12:00:00,q1,actual,0.3886689757894737,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T13:00:00,q1,actual,0.38384463122807017,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T14:00:00,q1,actual,0.381618010877193,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T15:00:00,q1,actual,0.38297872350877193,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T16:00:00,q1,actual,0.41068777824561403,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T17:00:00,q1,actual,0.44915883228070175,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
2020-01-01T18:00:00,q1,actual,0.44421078666666663,0.0,0.0,0.0,0.0,0.0,synthetic_chronological_witness_not_contract_or_event_evidence,False
